grod_id,type,lon,lat,sword_reach_id,distance_to_sword
170,Dam,-104.88757673356241,21.780656193990623,77141000084,103.61861925588467
171,Dam,-104.80307226448406,21.83997559281123,77141000104,174.47600562186938
172,Dam,-104.76408004760742,42.29010391750447,74294900334,3.567129867657498
173,Dam,-104.72554206848145,38.26844326742072,74249900224,84.46784270363598
174,Dam,-104.68803405761719,35.02813385889508,75216900324,3.498082663515043
175,Dam,-104.62896645069122,42.24768424186169,74294900314,119.95166673898159
176,Dam,-104.45256119384976,21.430039367198386,77143000074,378.29105765472974
177,Dam,-104.38925743103027,34.60763877169397,75216900244,25.4534596150188
178,Dam,-104.37872171401978,32.5484772348835,75216500254,22.104071432134965
179,Dam,-104.34776788914058,32.594816918199236,75216500284,17.33121352237636
180,Dam,-104.25175666809082,32.49166466245649,75216500224,48.333903488498336
181,Dam,-104.22193452715874,32.41119837063014,75216500184,13.67830971821006
182,Dam,-104.2204686999321,32.424254990661076,75216500204,48.99816745296436
183,Dam,-104.19045746326447,35.40275466200906,74242700114,69.74101536710143
184,Dam,-104.04228875216194,53.31933879110122,71230900144,113.67961064832488
185,Dam,-103.70648287921682,20.9105167822357,77145000084,259.97994143734417
186,Dam,-103.61940181918732,18.834632630294205,77130200034,14.9273771233634
187,Dam,-103.59872326254845,38.01315924719339,74249900054,111.37803616522432
188,Dam,-103.44447612762451,35.3441326292794,74242500204,61.97643707649787
189,Dam,-103.3556279540062,38.056947081760065,74249900024,126.87216432157513
190,Dam,-103.3475968484716,53.68770148208791,71230900064,61.11875527426782
191,Dam,-103.33376940375047,19.645364370401026,77130200214,82.49757554710202
192,Dam,-103.23221422426985,19.692907914059102,77130200254,119.44357160592847
193,Dam,-103.20862780141147,19.716896738560354,77130200274,81.96979869074417
194,Dam,-103.18557054818592,19.739590184727557,77130200316,742.6264676227634
195,Dam,-102.93702363967896,38.06768987040896,74249700114,210.22456280269822
196,Dam,-102.77202568353857,19.245933337957432,77122000184,77.0665103979179
197,Dam,-102.76791579779513,19.286459094610613,77122000204,704.1497725232423
198,Dam,-102.18625368695751,18.044478788608313,77121000014,234.80066640323955
199,Dam,-102.18290629010693,18.04664141966858,77121000014,90.18981531681159
200,Dam,-102.05383660559488,19.02054551264873,77122000314,58.38277257141234
201,Dam,-101.89314649336256,18.272844899466225,77121000094,49.265615327863514
202,Dam,-101.5521240234375,35.712789193374775,74242300664,177.23934195255123
203,Dam,-101.46666919438348,54.54087666793431,71230600334,47.627258226332735
204,Dam,-101.42393589019775,47.502358951968574,74297700284,55.02183484644307
205,Dam,-101.16518433825928,18.74597514016879,77123000174,37.54369429144191
